Drug name	Drug number	Line number	Advice Text	AdviceTag1	AdviceTag2	AdviceTag3	AdviceTag4	Medication	Food	Activity	Exercise	Disease
Effexor-XR	42	106	Aspirin can increase the risk of bleeding when used with this medication.	Other drugs related	Disease or symptom related			aspirin				
Esomeprazole	44	15	"Take this medication by mouth as directed by your doctor, usually once daily, at least 1 hour before a meal."	Food or beverage related	Temporal							
Esomeprazole	44	46	Do not use anti-diarrhea products or narcotic pain medications if you have any of the following symptoms because these products may make them worse.	Other drugs related				anti-diarrhea products ; narcotic pain medications				
Esomeprazole	44	74	"It is unknown if this medication passes into breast milk. However, similar drugs pass into breast milk. The effects on a nursing infant are unknown. Consult your doctor before breast-feeding."	Pregnancy related								
Esomeprazole	44	83	"Some products that may interact with this drug include: cilostazol, clopidogrel, methotrexate (especially high-dose treatment), rifampin, St John's wort."	Other drugs related				cilostazol; clopidogrel; methotrexate ; rifampin; St John's wort; 				
Esomeprazole	44	88	Do not use any medications containing omeprazole while using esomeprazole.	Other drugs related				omeprazole				
Feldene	45	20	"If you are treating a chronic condition such as arthritis, ask your doctor about non-drug treatments and/or using other medications to treat your pain."	Other drugs related	Disease or symptom related							arthritis
Feldene	45	28	Do not lie down for at least 10 minutes after taking this drug.	Activity or lifestyle related	Drug administration related	Temporal				lying down		
Feldene	45	29	"To prevent stomach upset, take this medication with food, milk, or an antacid."	Food or beverage related	Drug administration related	Other drugs related		antacid	food;milk			
Feldene	45	64	Drink plenty of fluids as directed by your doctor to prevent dehydration and tell your doctor right away if you have a change in the amount of urine.	Food or beverage related					fluids;water			
Feldene	45	65	"This drug may make you dizzy or drowsy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related					driving; using machinery; activities requiring alertness			
Feldene	45	71	"This medication may make you more sensitive to the sun. Avoid prolonged sun exposure, tanning booths or sunlamps. Use a sunscreen and wear protective clothing when outdoors."	Activity or lifestyle related					tanning booths; sunlamps; staying outdoor for long			
Feldene	45	77	Tell your doctor if you are pregnant or if you plan to become pregnant.	Pregnancy related								
Feldene	45	78	"During pregnancy, this medication should be used only when clearly needed. It is not recommended for use during the first and last trimesters of pregnancy due to possible harm to the unborn baby and interference with normal labor/delivery."	Pregnancy related								
Feldene	45	80	This medication passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Feldene	45	86	"Products that may interact with this drug include: aliskiren, ACE inhibitors (such as captopril, lisinopril), angiotensin II receptor blockers (such as losartan, valsartan), cidofovir, corticosteroids (such as prednisone), lithium, ""water pills"" (diuretics such as furosemide)."	Other drugs related				aliskiren; ACE inhibitors ; captopril; lisinopril; angiotensin II receptor blockers ; losartan; valsartan;; cidofovir; corticosteroids ; prednisone; lithium; water pills ;diuretics;  furosemide;				
Feldene	45	89	"Check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers (aspirin, NSAIDs such as celecoxib, ibuprofen, or ketorolac). These drugs are similar to piroxicam and may increase your risk of side effects if taken together."	Other drugs related				aspirin; NSAIDs; celecoxib; ibuprofen; ketorolac;				
Feldene	45	101	"Lifestyle changes (such as weight loss if needed, strengthening/conditioning exercises) may help improve your flexibility and joint function."	Activity or lifestyle related	Exercise related					losing weight; strengthening exercise; conditioning exercises; 	strengthening exercise; conditioning exercises; 	
Fentanyl	46	25	"Before using this medication, women of childbearing age should talk with their doctor(s) about the risks and benefits."	Pregnancy related								
Fentanyl	46	26	Tell your doctor if you are pregnant or if you plan to become pregnant.	Pregnancy related								
Fentanyl	46	28	"It may slightly increase the risk of birth defects if used during the first two months of pregnancy. Also, using it for a long time or in high doses near the expected delivery date may harm the unborn baby."	Pregnancy related								
Fentanyl	46	30	"To lessen the risk, take the smallest effective dose for the shortest possible time."	Pregnancy related								
Fentanyl	46	31	"Babies born to mothers who use this drug for a long time may develop severe (possibly fatal) withdrawal symptoms. Tell the doctor right away if you notice any symptoms in your newborn baby such as slow/shallow breathing, irritability, shaking, persistent crying, vomiting, diarrhea, poor feeding, or difficulty gaining weight."	Pregnancy related								
Fentanyl	46	53	"Select a dry, non-hairy area on a flat part of your body, such as the chest, sides, back, or upper arms."	Drug administration related								
Fentanyl	46	54	"In young children or in people unable to think clearly (such as due to dementia), apply the patch on the upper back to lessen the chance it might be removed or placed in the mouth."	Drug administration related								
Fentanyl	46	55	"If there is hair on the skin, use scissors to clip the hair as close as possible to the skin. Do not shave hair since this might cause skin irritation. If needed, use water to clean the area. Do not use soap, oils, lotions, or alcohol on the application site. Dry the skin well before applying the patch."	Activity or lifestyle related	Drug administration related					shaving		
Fentanyl	46	63	"The used patch still contains enough fentanyl to cause serious harm, even kill a child or pet, so fold it in half with the sticky sides together and discard properly."									
Fentanyl	46	64	"Do not let children see you apply a patch, and do not apply the patch where children can see it. Children have found patches that have fallen off or removed patches on sleeping adults and put them in their mouths or on their bodies with fatal results."	Activity or lifestyle related	Drug administration related							
Fentanyl	46	71	Wash your hands after applying the patch.	Activity or lifestyle related	Drug administration related							
Fentanyl	46	77	"If the patch comes off and accidentally sticks to the skin of another person, immediately remove the patch, wash the area with water, and get medical help for them right away. Do not use soap, alcohol, or other products to wash the area."	Activity or lifestyle related	Drug administration related							
Fentanyl	46	87	"Along with its benefits, this medication may rarely cause abnormal drug-seeking behavior (addiction). This risk may be increased if you have abused alcohol or drugs in the past."	Disease or symptom related	Food or beverage related				alcohol			addiction
Fentanyl	46	95	"To prevent constipation, eat a diet adequate in fiber, drink plenty of water, and exercise."	Food or beverage related	Disease or symptom related	Exercise related			high-fiber diet; water			constipation
Fentanyl	46	97	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						getting up		
Fentanyl	46	100	"Tell your doctor right away if any of these unlikely but serious side effects occur: mental/mood changes (such as agitation, confusion, hallucinations), severe stomach/abdominal pain, difficulty urinating, slow/fast/pounding heartbeat, signs of your adrenal glands not working well (such as loss of appetite, unusual tiredness, weight loss)."	Disease or symptom related								
Fentanyl	46	102	This medication may increase serotonin and rarely cause a very serious condition called serotonin syndrome/toxicity.	Disease or symptom related								serotonin syndrome/toxicity
Fentanyl	46	103	"The risk increases if you are also taking other drugs that increase serotonin, so tell your doctor or pharmacist of all the drugs you take (see Drug Interactions section). Get medical help right away if you develop some of the following symptoms: fast heartbeat, hallucinations, loss of coordination, severe dizziness, severe nausea/vomiting/diarrhea, twitching muscles, unexplained fever, unusual agitation/restlessness."	Disease or symptom related	Other drugs related							
Fentanyl	46	122	Avoid alcoholic beverages.	Food or beverage related					alcohol			
Fentanyl	46	124	Avoid activities that might cause your body temperature to rise. (such as doing strenuous work/exercise in hot weather).	Activity or lifestyle related	Exercise related					hard work; hard exercise; 	hard exercise	
Fentanyl	46	127	"If you are going to have an MRI test, tell testing personnel that you are using this patch. Some patches may contain metals that can cause serious burns during an MRI."									
Fentanyl	46	129	"Ask your doctor whether you will need to remove your patch before the test and apply a new patch afterward, and how to do so properly."									
Fentanyl	46	131	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby."	Pregnancy related								
Fentanyl	46	136	"This drug passes into breast milk and may rarely have undesirable effects on a nursing infant. Tell the doctor right away if your baby develops unusual sleepiness, difficulty feeding, or trouble breathing."	Pregnancy related								
Fentanyl	46	143	"Some products that may interact with this drug include: certain pain medications (mixed opioid agonist-antagonists such as pentazocine, nalbuphine, butorphanol), opioid antagonists (such as naltrexone)."	Other drugs related				pain medications ;mixed opioid agonist-antagonists;  pentazocine; nalbuphine; butorphanol; opioid antagonists ; naltrexone;				
Fentanyl	46	144	"Other medications can affect the removal of fentanyl from your body, which may affect how fentanyl works. Examples include cimetidine, nefazodone, azole antifungals including itraconazole/ketoconazole, calcium channel blockers such as diltiazem/verapamil, HIV drugs such as nelfinavir/ritonavir, macrolide antibiotics including clarithromycin/erythromycin, rifamycins including rifampin, certain anti-seizure medicines including carbamazepine, among others."	Other drugs related				cimetidine; nefazodone; azole antifungals; itraconazole; ketoconazole; calcium channel blockers  diltiazem; verapamil; HIV drugs;  nelfinavir; ritonavir; macrolide antibiotics; clarithromycin; erythromycin; rifamycins;  rifampin; anti-seizure medicines; carbamazepine;				
Fentanyl	46	146	"Taking MAO inhibitors with this medication may cause a serious (possibly fatal) drug interaction. Avoid taking MAO inhibitors (isocarboxazid, linezolid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, tranylcypromine) during treatment with this medication. Most MAO inhibitors should also not be taken for two weeks before treatment with this medication."	Other drugs related	Drug administration related	Temporal		MAO inhibitors ;isocarboxazid; linezolid; methylene blue; moclobemide; phenelzine; procarbazine; rasagiline; selegiline; tranylcypromine;				
Fentanyl	46	153	"The risk of serotonin syndrome/toxicity increases if you are also taking other drugs that increase serotonin. Some examples are street drugs such as MDMA/ ""ecstasy,"" St. John's wort, certain antidepressants (such as SSRIs like fluoxetine/paroxetine, SNRIs like duloxetine/venlafaxine), among others."	Other drugs related	Disease or symptom related			MDMA/ ecstas; St. John's wort; antidepressants ; SSRIs; fluoxetine; paroxetine; SNRIs;  duloxetine; venlafaxine;				serotonin syndrome/toxicity
Fentanyl	46	156	The risk of serotonin syndrome/toxicity may be more likely when you start or increase the dose of these drugs.	Other drugs related	Disease or symptom related							serotonin syndrome/toxicity
Flagyl	47	13	Wash your hands before and after use.	Activity or lifestyle related	Drug administration related					washing hands		
Flagyl	47	40	"This product may contain inactive ingredients (such as paraben preservatives), which can cause allergic reactions or other problems."	Disease or symptom related								allergy
Flagyl	47	45	"Do not drink alcohol while using this medication and for at least 24 hours after treatment. Drinking alcohol while using this medication may cause stomach cramps, flushing, nausea, vomiting, and headache."	Food or beverage related	Temporal	Disease or symptom related			alcohol			
Flagyl	47	47	Do not have vaginal sex or use tampons or douches while using this medication.	Activity or lifestyle related	Drug administration related					having sex; using tampons		
Flagyl	47	48	"During pregnancy, this medication should be used only when clearly needed."	Pregnancy related								
Flagyl	47	51	The medication in this product may pass into breast milk in small amounts. Consult your doctor before breast-feeding.	Pregnancy related								
Flagyl	47	58	Do not use this medication if you have taken disulfiram within the last 2 weeks.	Other drugs related	Temporal			disulfiram				
Flagyl	47	59	Do not take products containing alcohol or propylene glycol while using this medication and for at least 24 hours after treatment.	Food or beverage related	Temporal				alcohol; propylene glycol; food coloring;  iced tea; ice cream; salad dressing; boxed cake;			
Flomax	48	19	"Take this medication by mouth as directed by your doctor, usually once daily, 30 minutes after the same meal each day."	Drug administration related	Temporal	Food or beverage related						
Flomax	48	20	Swallow this medication whole.	Drug administration related								
Flomax	48	21	"Do not crush, chew, or open the capsules."	Drug administration related								
Flomax	48	33	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						getting up		
Flomax	48	54	This drug may make you dizzy or drowsy.	Disease or symptom related								
Flomax	48	55	"Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related	Disease or symptom related					driving; using machinery; activities requiring alertness		
Flomax	48	56	Limit alcoholic beverages.	Food or beverage related					alcohol			
Flomax	48	57	"Before having surgery (including cataract/glaucoma eye surgery), tell your doctor or dentist if you are taking or have ever taken this medication, and about all the other products you use (including prescription drugs, nonprescription drugs, and herbal products)."	Other drugs related								
Flomax	48	60	"During pregnancy, this medication should be used only when clearly needed."	Pregnancy related								
Flomax	48	62	It is unknown if this medication passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Flomax	48	68	"Some products that may interact with this drug include: other alpha blocker drugs (such as prazosin, terazosin)."	Other drugs related				alpha blocker drugs ; prazosin; terazosin;				
Flomax	48	69	"If you are also taking a drug to treat erectile dysfunction-ED or pulmonary hypertension (such as sildenafil, tadalafil), your blood pressure may get too low which can lead to dizziness or fainting."	Other drugs related				sildenafil; tadalafil				
fluoxetine	51	26	"Take this medication by mouth as directed by your doctor, usually once daily in the morning. If you are taking this medication twice a day, your doctor may direct you to take it in the morning and at noon. If you are taking fluoxetine for premenstrual problems, your doctor may direct you to take it every day of the month or just for the 2 weeks before your period through the first full day of your period."	Drug administration related	Temporal							
fluoxetine	51	36	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
fluoxetine	51	51	"If you have diabetes, fluoxetine may affect your blood sugar levels. Monitor your blood sugar regularly and share the results with your doctor."	Disease or symptom related								diabetes
fluoxetine	51	54	This medication may increase serotonin and rarely cause a very serious condition called serotonin syndrome/toxicity.	Disease or symptom related								serotonin syndrome/toxicity
fluoxetine	51	55	"The risk increases if you are also taking other drugs that increase serotonin, so tell your doctor or pharmacist of all the drugs you take (see Drug Interactions section)."	Disease or symptom related	Other drugs related							
fluoxetine	51	76	Avoid alcoholic beverages.	Food or beverage related					alcohol			
fluoxetine	51	79	"The risk of QT prolongation may be increased if you have certain medical conditions or are taking other drugs that may cause QT prolongation. Before using fluoxetine, tell your doctor or pharmacist of all the drugs you take and if you have any of the following conditions: certain heart problems (heart failure, slow heartbeat, QT prolongation in the EKG), family history of certain heart problems (QT prolongation in the EKG, sudden cardiac death)."	Disease or symptom related	Other drugs related							QT prolongation
fluoxetine	51	81	"Low levels of potassium or magnesium in the blood may also increase your risk of QT prolongation. This risk may increase if you use certain drugs (such as diuretics/""water pills"") or if you have conditions such as severe sweating, diarrhea, or vomiting."	Disease or symptom related	Other drugs related			diuretics; water pills				QT prolongation
fluoxetine	51	84	The liquid form of this medication contains alcohol.	Food or beverage related					alcohol			
fluoxetine	51	85	"Caution is advised if you have diabetes, alcohol dependence, or liver disease."	Disease or symptom related	Food or beverage related				alcohol			diabetes; alcohol dependence; liver disease
fluoxetine	51	86	"Some medications (such as metronidazole, disulfiram) can cause a serious reaction when combined with alcohol."	Food or beverage related	Other drugs related			metronidazole; disulfiram	alcohol			
fluoxetine	51	90	"Older adults may also be more likely to develop low sodium in the blood, especially if they are taking ""water pills"" (diuretics)."	Other drugs related				diuretics; water pills				
fluoxetine	51	91	"During pregnancy, this medication should be used only when clearly needed. It may harm an unborn baby. Also, babies born to mothers who have used this drug during the last 3 months of pregnancy may rarely develop withdrawal symptoms such as feeding/breathing difficulties, seizures, muscle stiffness, or constant crying. If you notice any of these symptoms in your newborn, tell the doctor promptly."	Pregnancy related								
fluoxetine	51	96	"If you are planning pregnancy, become pregnant, or think you may be pregnant, immediately discuss the benefits and risks of using this medication during pregnancy with your doctor."	Pregnancy related								
fluoxetine	51	97	This drug may pass into breast milk and could have undesirable effects on a nursing infant. Consult your doctor before breast-feeding.	Pregnancy related								
fluoxetine	51	103	"Fluoxetine can stay in your body for many weeks after your last dose and may interact with many other medications. Before using any medication, tell your doctor or pharmacist if you have taken fluoxetine in the previous 5 weeks."	Other drugs related	Temporal							
fluoxetine	51	105	"Some products that may interact with this drug include: drugs removed from your body by certain liver enzymes including carbamazepine, vinblastine, antiarrhythmics such as propafenone/flecainide, tricyclic antidepressants such as desipramine/imipramine, other drugs that can cause bleeding/bruising including antiplatelet drugs such as clopidogrel, NSAIDs such as ibuprofen, ""blood thinners"" such as warfarin."	Other drugs related				carbamazepine; vinblastine; antiarrhythmics; propafenone; flecainide; tricyclic antidepressants; desipramine; imipramine; antiplatelet drugs; clopidogrel; NSAIDs; ibuprofen; blood thinners; warfarin; 				
fluoxetine	51	106	"Taking MAO inhibitors with his medication may cause a serious (possibly fatal) drug interaction. Avoid taking MAO inhibitors (isocarboxazid, linezolid, methylene blue, moclobemide, phenelzine, procarbazine, rasagiline, selegiline, tranylcypromine) during treatment with this medication. Most MAO inhibitors should also not be taken for 2 weeks before and at least 5 weeks after treatment with this medication."	Other drugs related	Disease or symptom related	Drug administration related	Temporal	MAO inhibitors ;isocarboxazid; linezolid; methylene blue; moclobemide; phenelzine; procarbazine; rasagiline; selegiline; tranylcypromine;				
fluoxetine	51	110	"Many drugs besides fluoxetine may affect the heart rhythm (QT prolongation), including pimozide and thioridazine, among others."	Other drugs related	Disease or symptom related			pimozide ; thioridazine				
fluoxetine	51	111	Aspirin can increase the risk of bleeding when used with this medication.	Other drugs related	Disease or symptom related			Aspirin				
fluoxetine	51	113	"The risk of serotonin syndrome/toxicity increases if you are also taking other drugs that increase serotonin. Examples include street drugs such as MDMA/""ecstasy,"" St. John's wort, certain antidepressants (including other SSRIs such as citalopram/paroxetine, SNRIs such as duloxetine/venlafaxine), tryptophan, among others."	Other drugs related	Disease or symptom related			MDMA/ecstasy; St. John's wort; antidepressants ;SSRIs;  fluoxetine; paroxetine; SNRIs; desvenlafaxine; duloxetine; tryptophan;				serotonin syndrome/toxicity
Folic_acid	53	16	"HOW TO USE:  Take this product by mouth with or without food as directed by your doctor, usually once daily."	Drug administration related	Temporal	Food or beverage related						
Folic_acid	53	22	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Folic_acid	53	23	Follow the diet plan recommended by your doctor or dietician.	Food or beverage related								
Folic_acid	53	46	Folic acid is safe to take during pregnancy when used as directed.	Pregnancy related								
Folic_acid	53	64	"Folate is naturally found in leafy green vegetables, organ meats (liver, kidney), citrus fruits, and other foods."	Food or beverage related					leafy green vegetables;organ meats; liver; kidney; citrus fruits			
Folic_acid	53	65	"Folic acid is added to enriched grain products such as bread, pasta, and cereal."	Food or beverage related					bread; pasta; cereal			
Folic_acid	53	66	Consult your doctor or dietician for a diet plan rich in folate/folic acid.	Food or beverage related								
Gabapentin	55	16	"Take this medication by mouth as directed by your doctor, usually once a day with the evening meal."	Food or beverage related	Drug administration related	Temporal						
Gabapentin	55	31	"Antacids containing aluminum or magnesium may interfere with the absorption of this medication. Therefore, if you are also taking an antacid, it is best to take gabapentin at least 2 hours after taking the antacid."	Other drugs related	Temporal							
Gabapentin	55	41	"A small number of people who take anticonvulsants for any condition (such as seizures, bipolar disorder, pain) may experience depression, suicidal thoughts/attempts, or other mental/mood problems."	Disease or symptom related	Other drugs related							seizures; bipolar disorder; pain; experience depression; suicidal thoughts;attempts;other mental;mood problems;
Gabapentin	55	58	This drug may make you dizzy or drowsy.	Disease or symptom related								
Gabapentin	55	59	"Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Activity or lifestyle related						drive; use machinery;do any activity that requires alertness		
Gabapentin	55	60	Limit alcoholic beverages.	Food or beverage related					Alcohol;			
Gabapentin	55	66	Gabapentin passes into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Gabapentin	55	73	"Tell your doctor or pharmacist if you are taking other products that cause drowsiness including alcohol, antihistamines (such as cetirizine, diphenhydramine), drugs for sleep or anxiety (such as alprazolam, diazepam, zolpidem), muscle relaxants, and narcotic pain relievers (such as codeine, morphine)."	Food or beverage related	Disease or symptom related	Other drugs related		antihistamines ; cetirizine; diphenhydramine; drugs for sleep or anxiety ; alprazolam; diazepam; zolpidem; muscle relaxants; narcotic pain relievers ; codeine;				
Gabapentin	55	76	Do not use this medication with other medications that contain gabapentin (including gabapentin enacarbil).	Other drugs related				gabapentin ; gabapentin enacarbil;				
Glimepiride	57	16	"Take this medication by mouth with breakfast or the first main meal of the day, as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal			breakfast ; first main meal			
Glimepiride	57	19	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
Glimepiride	57	24	"If you are taking colesevelam, take glimepiride at least 4 hours before taking colesevelam."	Drug administration related	Other drugs related	Temporal		colesevelam				
Glimepiride	57	34	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Food or beverage related	Other drugs related			glucose tablets;gel	table sugar; honey;candy;drink fruit juice;non-diet soda;			
Glimepiride	57	59	Limit alcohol while taking this medication because it can increase your risk of developing low blood sugar.	Food or beverage related	Disease or symptom related				alcohol			low blood sugar;
Glimepiride	57	69	Pregnancy may cause or worsen diabetes. Discuss a plan with your doctor for managing your blood sugar while pregnant.	Pregnancy related	Disease or symptom related							diabetes
Glimepiride	57	72	"It is unknown if this medication passes into breast milk. However, similar drugs pass into breast milk. Breast-feeding while using this medication is not recommended."	Pregnancy related								
Glimepiride	57	87	"Beta-blocker medications (including metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related	Disease or symptom related			Beta-blocker medications ; metoprolol; propranolol; glaucoma eye drops ; timolol;				low blood sugar; hypoglycemia;
Glipizide	58	16	"Take this medication by mouth with breakfast as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal						
Glipizide	58	20	"If you are already taking another anti-diabetic drug (such as chlorpropamide), follow your doctor's directions carefully for stopping the old drug and starting glipizide."	Other drugs related				anti-diabetic drug ; chlorpropamide;				
Glipizide	58	25	"Colesevelam can decrease the absorption of glipizide. If you are taking colesevelam, take glipizide at least 4 hours before taking colesevelam."	Other drugs related	Temporal	Drug administration related		Colesevelam				
Glipizide	58	40	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Food or beverage related	Other drugs related			glucose tablets;gel				
Glipizide	58	43	"To help prevent low blood sugar, eat meals on a regular schedule, and do not skip meals."	Food or beverage related	Disease or symptom related							low blood sugar
Glipizide	58	44	Check with your doctor or pharmacist to find out what you should do if you miss a meal.	Food or beverage related								
Glipizide	58	63	"You may experience blurred vision, dizziness, or drowsiness due to extremely low or high blood sugar levels. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Disease or symptom related	Activity or lifestyle related					drive; use machinery;any activity that requires alertness or clear vision		blurred vision; dizziness;drowsiness
Glipizide	58	65	"Limit alcohol while taking this medication because it can increase your risk of developing low blood sugar. Alcohol can rarely interact with glipizide and cause a serious reaction (disulfiram-like reaction) with symptoms such as facial flushing, nausea, vomiting, dizziness, or stomach pain. Consult your doctor or pharmacist about the safe use of alcohol."	Food or beverage related	Disease or symptom related				Alcohol			low blood sugar;
Glipizide	58	80	"It is unknown if this medication passes into breast milk. However, similar drugs pass into breast milk. Consult your doctor before breast-feeding."	Pregnancy related								
Glucotrol	60	16	"Take this medication by mouth with breakfast as directed by your doctor, usually once daily."	Food or beverage related	Drug administration related	Temporal						
Glucotrol	60	40	"It is a good habit to carry glucose tablets or gel to treat low blood sugar. If you don't have these reliable forms of glucose, rapidly raise your blood sugar by eating a quick source of sugar such as table sugar, honey, or candy, or drink fruit juice or non-diet soda."	Other drugs related	Food or beverage related			glucose tablets;gel				
Glucotrol	60	43	"To help prevent low blood sugar, eat meals on a regular schedule, and do not skip meals."	Food or beverage related								
Glucotrol	60	63	"You may experience blurred vision, dizziness, or drowsiness due to extremely low or high blood sugar levels. Do not drive, use machinery, or do any activity that requires alertness or clear vision until you are sure you can perform such activities safely."	Activity or lifestyle related	Disease or symptom related							extremely low;high blood sugar levels;
Glucotrol	60	65	"Limit alcohol while taking this medication because it can increase your risk of developing low blood sugar. Alcohol can rarely interact with glipizide and cause a serious reaction (disulfiram-like reaction) with symptoms such as facial flushing, nausea, vomiting, dizziness, or stomach pain. Consult your doctor or pharmacist about the safe use of alcohol."	Food or beverage related	Disease or symptom related				Alcohol			
Glucotrol	60	70	"This medication may make you more sensitive to the sun. Avoid prolonged sun exposure, tanning booths, and sunlamps. Use a sunscreen and wear protective clothing when outdoors."	Activity or lifestyle related						prolonged sun exposure; tanning booths; sunlamp		
Glucotrol	60	75	"During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor."	Pregnancy related								
Glucotrol	60	77	Pregnancy may cause or worsen diabetes. Discuss a plan with your doctor for managing your blood sugar while pregnant. Your doctor may change your diabetes treatment during your pregnancy (such as diet and medications including insulin).	Pregnancy related								
Glucotrol	60	80	It is unknown if this medication passes into breast milk.	Pregnancy related								
Glucotrol	60	94	"Beta-blocker medications (including metoprolol, propranolol, glaucoma eye drops such as timolol) may prevent the fast/pounding heartbeat you would usually feel when your blood sugar level falls too low (hypoglycemia)."	Other drugs related	Disease or symptom related			Beta-blocker medications ; metoprolol; propranolol; glaucoma eye drops ; timolol;				blood sugar level falls too low ;hypoglycemia;
Heparin	62	24	"If you are injecting heparin into a vein, flush the catheter/line with normal saline before and after infusing drugs that interact with heparin such as doxorubicin, droperidol, ciprofloxacin, and mitoxantrone."	Other drugs related	Drug administration related			doxorubicin; droperidol; ciprofloxacin; mitoxantrone;				
Heparin	62	32	"To help you remember, use it at the same times each day."	Drug administration related	Temporal							
Heparin	62	60	"To lower the chance of getting cut, bruised, or injured, use caution with sharp objects like razors and nail cutters, and avoid activities such as contact sports."	Activity or lifestyle related	Exercise related					sharp objects; razors; nail cutters;contact sports;	contact sports;	
Heparin	62	62	Daily use of alcohol while using this medicine will increase your risk for stomach bleeding. Limit alcoholic beverages. Ask your doctor or pharmacist about how much alcohol you may safely drink.	Food or beverage related	Disease or symptom related				alcoholic beverages; alcohol; 			stomach bleeding
Heparin	62	71	This medication does not pass into breast milk. Consult your doctor before breast-feeding.	Pregnancy related								
Heparin	62	78	"Some products that may interact with this drug include: mifepristone, oritavancin, telavancin."	Other drugs related				mifepristone; oritavancin; telavancin;				
Heparin	62	79	"This medication is sometimes used together with other drugs that have ""blood thinning"" or anti-platelet effects such as aspirin, clopidogrel, or warfarin."	Other drugs related				aspirin; clopidogrel;warfarin;				
Heparin	62	82	"Check all prescription and nonprescription medicine labels carefully since many medications contain pain relievers/fever reducers (NSAIDs such as ibuprofen, naproxen, or aspirin) that can increase the risk of bleeding when used with heparin. However, if your doctor has directed you to take low-dose aspirin to prevent heart attack or stroke (usually at dosages of 81-325 milligrams a day), you should continue taking the aspirin unless your doctor instructs you otherwise."	Disease or symptom related	Other drugs related			ibuprofen; naproxen;aspirin				bleeding
Heparin	62	85	Cigarette smoking decreases blood levels of this medication.	Activity or lifestyle related						Cigarette smoking; smoking; 		
Heparin	62	86	Tell your doctor if you smoke or if you have recently stopped smoking.	Activity or lifestyle related						smoking		
hydrochlorothiazide	64	15	It is best to avoid taking this medication within 4 hours of your bedtime to prevent having to get up to urinate.	Activity or lifestyle related	Drug administration related	Temporal				get up to urinate;		
hydrochlorothiazide	64	18	"To help you remember, take it at the same time each day."	Drug administration related	Temporal							
hydrochlorothiazide	64	21	"Cholestyramine and colestipol can decrease the absorption of hydrochlorothiazide. If you are taking either of these drugs, take them at least 4 hours before or after taking hydrochlorothiazide."	Other drugs related	Temporal			Cholestyramine ; colestipol				
hydrochlorothiazide	64	26	"To reduce the risk of dizziness and lightheadedness, get up slowly when rising from a sitting or lying position."	Activity or lifestyle related						rising from a sitting or lying position;		
hydrochlorothiazide	64	47	"This drug may make you dizzy. Do not drive, use machinery, or do any activity that requires alertness until you are sure you can perform such activities safely."	Food or beverage related	Activity or lifestyle related					drive; use machinery;do any activity that requires alertness		
hydrochlorothiazide	64	49	Limit alcoholic beverages.	Food or beverage related					alcoholic beverages; alcohol; 			
hydrochlorothiazide	64	52	"To prevent dehydration, drink plenty of fluids unless your doctor directs you otherwise."	Food or beverage related					fluids; water; 			
hydrochlorothiazide	64	53	"If you have diabetes, hydrochlorothiazide may affect your blood sugar levels. Check your blood sugar levels regularly as directed by your doctor."	Disease or symptom related								blood sugar
hydrochlorothiazide	64	64	"During pregnancy, this medication should be used only when clearly needed. Discuss the risks and benefits with your doctor."	Pregnancy related								
hydrochlorothiazide	64	66	"This drug passes into breast milk, but is unlikely to harm a nursing infant. Consult your doctor before breast-feeding."	Pregnancy related								
Ipratropium	67	16	"When priming the spray, make sure to spray away from the face so that you do not get the medication into your eyes. Gently blow your nose before using this drug."	Drug administration related								
Ipratropium	67	18	"Spray this medication into the nose as directed by your doctor, usually 3 or 4 times a day in each nostril."	Drug administration related	Temporal							
